indicator,threshold,horizon_days,hit_rate,avg_return,baseline_hit_rate,baseline_avg_return,edge,n_signals,p_value
RSI_14,20.0,1,0.5868005738880918,0.005976535218005796,0.49372422249470516,-0.00032479052895674135,0.09307635139338666,1394,1.6759899235739707e-19
RSI_14,20.0,3,0.676978417266187,0.015486739748363138,0.49657203227909275,-0.0009111774948790632,0.18040638498709427,1390,1.1060430515409331e-39
RSI_14,20.0,5,0.6777456647398844,0.018978227758998892,0.49559166836653745,-0.001234048974187035,0.18215399637334695,1384,1.9368953932266603e-45
RSI_14,20.0,10,0.5606287425149701,0.007396167622364256,0.4984620365873401,-0.0015399735918494761,0.06216670592762996,1336,8.852537348387225e-07
RSI_14,25.0,1,0.5544182872739679,0.004203364271578666,0.4926127706726996,-0.00042839581149756737,0.06180551660126832,2931,8.067250426423319e-23
RSI_14,25.0,3,0.6291595197255575,0.01194200440263972,0.4934127833899725,-0.001252733294496413,0.13574673633558498,2915,1.297172951063318e-56
RSI_14,25.0,5,0.640124095139607,0.014891994779515345,0.49166744906581544,-0.0016755066291199352,0.14845664607379155,2901,4.690469361035311e-64
RSI_14,25.0,10,0.5354723707664885,0.005465741758719694,0.49796504668422314,-0.0017246120140701356,0.037507324082265314,2805,2.3204589215023876e-08
RSI_14,30.0,1,0.5358798442425367,0.0027117906292568176,0.4913354219698453,-0.0005106196383893815,0.04454442227269134,5393,2.4102686592358045e-20
RSI_14,30.0,3,0.5827727952167414,0.007593001513384986,0.4913756940160395,-0.0014718501928216302,0.09139710120070194,5352,6.074666895918969e-49
RSI_14,30.0,5,0.5953681039352288,0.009500987647549764,0.4886799024730059,-0.001956544582967321,0.10668820146222285,5311,1.6256366472255333e-53
RSI_14,30.0,10,0.5122759158222915,0.0022763902118998814,0.49877037750678194,-0.0017338456192980004,0.013505538315509547,5132,5.312423541900994e-05
RSI_14,35.0,1,0.5218235831809872,0.0018785479307065304,0.4906259167400059,-0.0006048014660372326,0.03119766644098132,8752,5.77966846239641e-18
RSI_14,35.0,3,0.5575925285368385,0.005213527296037798,0.48908719492527686,-0.001726317256289537,0.06850533361156164,8673,2.8198337544133584e-44
RSI_14,35.0,5,0.5677719604421175,0.00698344127393822,0.48561365483608776,-0.0023897124172622785,0.08215830560602977,8595,7.734070750326431e-53
RSI_14,35.0,10,0.5053737471319889,0.002076834776181327,0.49917341709373453,-0.0020362568737548477,0.006200330038254376,8281,7.512810379690433e-07
RSI_14,40.0,1,0.5110064107515254,0.0012684863944617988,0.4909014473605189,-0.0006804480941550495,0.020104963391006536,12947,1.9918636375976493e-15
RSI_14,40.0,3,0.5377711877633838,0.003439814204477627,0.488189214529837,-0.001908077433403999,0.04958197323354685,12814,2.8792033582518984e-36
RSI_14,40.0,5,0.545956607495069,0.00481996008730497,0.4838257691136156,-0.002719299472380207,0.062130838381453446,12675,3.911024075278894e-45
RSI_14,40.0,10,0.5092638137399573,0.002494594208505523,0.49695771689779783,-0.002691252999037935,0.012306096842159497,12198,1.891140154487574e-12
MFI_14,20.0,1,0.562992125984252,0.004353049570181441,0.4946530603170368,-0.00026157900434836223,0.06833906566721515,1270,2.1507436063524235e-09
MFI_14,20.0,3,0.6189723320158103,0.010345158467475857,0.4987223168654174,-0.0007194389497403629,0.12025001515039285,1265,1.1065340753702685e-15
MFI_14,20.0,5,0.6258935663224782,0.012791374035040224,0.497581702300773,-0.0010009028495630643,0.1283118640217052,1259,4.958833563303392e-18
MFI_14,20.0,10,0.5486223662884927,0.0069706728047851324,0.49895018573636973,-0.001506828371186768,0.04967218055212297,1234,1.7134340657175166e-05
MFI_14,25.0,1,0.5291984040623866,0.0027660058015324808,0.494458751034673,-0.0003187498178349951,0.03473965302771359,2757,8.408519037371478e-10
MFI_14,25.0,3,0.5911743253099927,0.008245028126598991,0.49637185580155324,-0.0009648047313688316,0.09480246950843946,2742,5.094904054784006e-24
MFI_14,25.0,5,0.593531789783168,0.010166443902976153,0.4952552356020942,-0.0013052660207472375,0.09827655418107378,2721,5.040683758967107e-26
MFI_14,25.0,10,0.5364563656970155,0.006456614603119504,0.49804426636138144,-0.0017600719578553274,0.03841209933563405,2647,4.378570245496476e-09
MFI_14,30.0,1,0.5190212196520742,0.0020191020252139694,0.4936613194207421,-0.0004095546290981721,0.025359900231332055,5231,4.2214119237655124e-11
MFI_14,30.0,3,0.5579150579150579,0.005404604445694062,0.49492591591517804,-0.001154995110036498,0.06298914199987987,5180,8.261722707148181e-24
MFI_14,30.0,5,0.5613419153501072,0.006507329387734216,0.4934865520828174,-0.0015242133177117497,0.06785536326728986,5127,2.827628436148147e-23
MFI_14,30.0,10,0.5252973190888933,0.004547433534650958,0.49719796031705965,-0.0020009455232974263,0.02809935877183367,4961,6.540476132159222e-10
MFI_14,35.0,1,0.5150941162542915,0.001574213904173759,0.4923813554838368,-0.0005167603283162344,0.022712760770454643,8447,1.073383779660202e-12
MFI_14,35.0,3,0.5479583283439109,0.0037791304393706947,0.4918190054895273,-0.0013475591127123804,0.05613932285438361,8351,6.07441055697513e-23
MFI_14,35.0,5,0.5500546050236622,0.004852577259861637,0.4903123658222413,-0.0018294250958075207,0.05974223920142091,8241,7.150122515578707e-25
MFI_14,35.0,10,0.5235635080645161,0.0032892617950329955,0.4952919020715631,-0.0022601386446104614,0.02827160599295303,7936,1.8424398567038237e-10
Williams_R,-80.0,1,0.4989755098058347,0.0011140294705418961,0.49583333333333335,-0.000490413253501068,0.003142176472501368,10249,1.1342513557883067e-09
Williams_R,-80.0,3,0.5209793661763255,0.0031554165491310643,0.4966711424415352,-0.0014258196036312147,0.024308223734790246,10129,7.987681322469065e-24
Williams_R,-80.0,5,0.5414425184299662,0.005365280773009419,0.4897228409507429,-0.0023130881092598824,0.051719677479223236,10038,1.39946130446384e-39
Williams_R,-80.0,10,0.5197327208185425,0.0038120814688521612,0.49501385833071404,-0.0026635927223238234,0.024718862487828452,9578,1.0589508726227093e-15
Williams_R,-85.0,1,0.49875838092873104,0.001087625267562218,0.4960596936771829,-0.0003926409998010383,0.0026986872515481486,8054,3.096473646355885e-07
Williams_R,-85.0,3,0.5176352453872223,0.002972844079232384,0.4987602215774202,-0.0011261839552546696,0.01887502380980205,7967,2.2117450903925836e-16
Williams_R,-85.0,5,0.5409441842804709,0.005471831237955978,0.49276672694394213,-0.001899121002625835,0.04817745733652873,7901,1.0041154590725966e-30
Williams_R,-85.0,10,0.5162698412698413,0.00291936583074236,0.4970687559097663,-0.002128219475210404,0.019201085360075032,7560,9.648117876093826e-09
Williams_R,-90.0,1,0.503286551785397,0.0013045543116662788,0.49559330379123584,-0.00033433100203899646,0.007693247994161212,5629,8.719898542682501e-07
Williams_R,-90.0,3,0.5079877939328666,0.002500173993627913,0.5012156998957972,-0.0008171848926452941,0.006772094037069465,5571,1.3623968255362288e-08
Williams_R,-90.0,5,0.5411169347551057,0.005585155457656361,0.49559691784248977,-0.0014781415170335324,0.045520016912615924,5533,1.417679649917794e-21
Williams_R,-90.0,10,0.5156866428705618,0.002709688395212559,0.49824212778966676,-0.0018121193702796618,0.017444515080895007,5323,8.1084693987813e-06
BB_pctB,0.05,1,0.48346990675332013,5.797470865694523e-05,0.49761180051510184,-0.0001508396529241743,-0.01414189376178171,3539,0.6110303041272577
BB_pctB,0.05,3,0.4846938775510204,-0.0010299393607119153,0.5034829629979456,-0.00036306309239577024,-0.018789085446925202,3528,0.32818467708638854
BB_pctB,0.05,5,0.5231599886331344,0.0033244019335824993,0.49928547611108465,-0.000949844661933228,0.02387451252204975,3519,2.32071411204242e-06
BB_pctB,0.05,10,0.5241379310344828,0.00385023859229797,0.4983996120271581,-0.0016863769131865802,0.025738319007324706,3335,1.444933003585847e-05
BB_pctB,0.1,1,0.4957886676875957,0.0005596416980522462,0.49662400975015236,-0.0002232969485211331,-0.0008353420625566432,5224,0.02425426086393844
BB_pctB,0.1,3,0.5022128150856263,0.00040740598705822097,0.502015732546706,-0.0005193282664503857,0.00019708253892036787,5197,0.11369201760015339
BB_pctB,0.1,5,0.5270688321732405,0.003677470046229563,0.49780576698980983,-0.0011702943656745344,0.029263065183430692,5172,2.6160169548862304e-10
BB_pctB,0.1,10,0.5142624286878565,0.0031375696873935334,0.4986008520936799,-0.0018177535538414376,0.015661576594176663,4908,4.292407612991817e-06
BB_pctB,0.2,1,0.49632114260982474,0.0008441968920637344,0.49658172778123055,-0.00037936759961379154,-0.00026058517140581383,9242,1.0307807504836316e-05
BB_pctB,0.2,3,0.5185589519650655,0.0025495544640673756,0.49791649644578806,-0.0011537681143698362,0.02064245551927746,9160,5.4581837039732605e-15
BB_pctB,0.2,5,0.5303964757709251,0.004171741917943202,0.4938366506520247,-0.0018136176852869177,0.03655982511890038,9080,1.0237729477522311e-22
BB_pctB,0.2,10,0.5126099028227672,0.0031530928549416215,0.4973699590882525,-0.002336727973967221,0.015239943734514705,8644,7.705881619118941e-11
EMA200_disc,5.0,1,0.49484339190221543,0.0003999544538349434,0.4979253112033195,-0.0005775078112457463,-0.0030819193011040746,20944,5.626462659712871e-06
EMA200_disc,5.0,3,0.5140787643305992,0.0014764497944596158,0.49200958849380744,-0.0019891543679408604,0.022069175836791743,20847,2.5880927401757232e-20
EMA200_disc,5.0,5,0.5238095238095238,0.0023147458971544146,0.4821262673183342,-0.003078238697976795,0.041683256491189646,20748,2.6178457387202475e-29
EMA200_disc,5.0,10,0.5355801590011218,0.004809909659160983,0.4702974410103024,-0.006452443334009574,0.06528271799081936,20503,1.404940067020077e-63
EMA200_disc,8.0,1,0.49776361742540287,0.0007468158866838739,0.49585672280139,-0.0006156766629585023,0.0019068946240128892,16321,1.0624968184141539e-08
EMA200_disc,8.0,3,0.5227104874446086,0.002455956849667605,0.49070167741064497,-0.0019883685530345057,0.03200881003396361,16248,4.3650350436687395e-27
EMA200_disc,8.0,5,0.5353654012612835,0.003795138099061295,0.4822542702260407,-0.0030535669150683264,0.05311113103524279,16174,6.683434793492353e-39
EMA200_disc,8.0,10,0.5507780763702269,0.007430721645691105,0.47207251347378737,-0.006145608428893547,0.07870556289643954,16001,6.855406734658483e-79
EMA200_disc,10.0,1,0.5003745879532514,0.0010373717998878665,0.49496975775812285,-0.0006104382197306402,0.0054048301951285516,13348,3.428089063299419e-10
EMA200_disc,10.0,3,0.5296065006395305,0.0033429471473914616,0.4907935923402688,-0.001946851270497761,0.038812908299261706,13291,1.1613744586743887e-31
EMA200_disc,10.0,5,0.5474607013301088,0.005377975558068596,0.4821367706751774,-0.003078207174914491,0.06532393065493142,13232,3.2401116769971704e-49
EMA200_disc,10.0,10,0.5658216249236409,0.01008603264550612,0.4730772896216525,-0.005997405308937671,0.09274433530198833,13096,3.9060554837778435e-94
EMA200_disc,12.0,1,0.5055545095085672,0.0014657067153999752,0.4938389423751649,-0.0006120618018197741,0.011715567133402272,10622,2.1381580324723885e-12
EMA200_disc,12.0,3,0.5398506192682235,0.004593357319004179,0.4907082152974504,-0.0019148137486562982,0.04914240397077313,10577,9.667219930087367e-38
EMA200_disc,12.0,5,0.5596696097977784,0.007033646662347439,0.48350108658355256,-0.0029242539135925106,0.07616852321422579,10533,3.0614250467787545e-54
EMA200_disc,12.0,10,0.5744578775666859,0.012420222184475272,0.47770327643252425,-0.0054504492665681525,0.09675460113416162,10422,9.891462090898737e-94
EMA200_disc,15.0,1,0.5198207031797171,0.0022474635546730595,0.4922781897212989,-0.000569722101745475,0.027542513458418183,7139,2.5208925236852276e-14
EMA200_disc,15.0,3,0.5571649557024329,0.0064460688621239175,0.4919259144611257,-0.0016727797720431125,0.06523904124130714,7111,7.172781071648476e-38
EMA200_disc,15.0,5,0.5826037842417396,0.009950120256144451,0.48611508731749214,-0.0025674299046317753,0.0964886969242475,7082,7.111348746238941e-56
EMA200_disc,15.0,10,0.5954045954045954,0.017160208486125334,0.48259156729131175,-0.004710051614586379,0.1128130281132837,7007,5.421820314253202e-93
Volume_ratio,1.5,1,0.5180576631259484,0.0011335435822932283,0.49487824184010804,-0.00023216033864391537,0.02317942128584033,3295,0.0061633265376096
Volume_ratio,1.5,3,0.4934709990889766,-0.0002692200499245438,0.5027005448055608,-0.00042556930631360576,-0.009229545716584187,3293,0.8416683322552649
Volume_ratio,1.5,5,0.5069866342648846,0.0007625171319016104,0.5006751474664203,-0.0007270701909334044,0.006311486798464272,3292,0.1393454248837324
Volume_ratio,1.5,10,0.4816955684007707,-0.003744121707977498,0.5017245121921806,-0.0010864774895892261,-0.020028943791409903,3114,0.05098079142047989
Volume_ratio,2.0,1,0.5161290322580645,0.0015266825698199594,0.49611376081964315,-0.00017011859724544106,0.020015271438421356,961,0.09781020996057385
