indicator,threshold,horizon_days,hit_rate,avg_return,baseline_hit_rate,baseline_avg_return,edge,n_signals,p_value
RSI_14,20.0,1,0.5663716814159292,0.002472233334567478,0.521562479298695,0.0010968154134413715,0.04480920211723416,791,0.5891829370195991
RSI_14,20.0,3,0.5164556962025316,-0.011622382388133434,0.5449688334817453,0.0034913038859358254,-0.028513137279213674,790,0.00011167470922145914
RSI_14,20.0,5,0.46998722860791825,-0.026131707929671386,0.5597746807603402,0.005865762990842915,-0.08978745215242195,783,9.556254246998351e-10
RSI_14,20.0,10,0.4713541666666667,-0.054245860644109474,0.5810464104091263,0.011498413035493524,-0.10969224374245962,768,2.338831919915672e-22
RSI_14,25.0,1,0.5519001701644923,0.001621865445417518,0.5211553650005641,0.0011004776580365832,0.03074480516392819,1763,0.7445327022200661
RSI_14,25.0,3,0.5359179019384265,-0.005864806877057559,0.5448175448175449,0.0035930148269171626,-0.008899642879118375,1754,0.0001705779172006114
RSI_14,25.0,5,0.5014376078205866,-0.017657473430706578,0.5604889571818453,0.006229336332271529,-0.059051349361258776,1739,3.9020535191399855e-13
RSI_14,25.0,10,0.4897840046701693,-0.034635453598825985,0.5827343182935681,0.01216655584751568,-0.09295031362339884,1713,1.681624263125955e-28
RSI_14,30.0,1,0.5573145705071827,0.002663044437816608,0.5195350036327842,0.0009971024824517736,0.03777956687439854,3411,0.11636200104892393
RSI_14,30.0,3,0.549645390070922,-0.0007256477126704479,0.544062751027737,0.0035463611097029868,0.0055826390431849005,3384,0.01109739933737297
RSI_14,30.0,5,0.5282906491959499,-0.008961934052957806,0.560618330792683,0.0064549728551321715,-0.03232768159673305,3358,2.415521126296797e-12
RSI_14,30.0,10,0.5278866445583359,-0.019928926917814487,0.5832867047804403,0.012806110017349442,-0.05540006022210442,3317,2.4596903747610014e-30
RSI_14,35.0,1,0.5383947185545518,0.0015651531008140972,0.5200386885571152,0.001056941494664856,0.018356029997436574,5756,0.5010156051458883
RSI_14,35.0,3,0.5485113835376533,0.0006118594214549096,0.5439,0.0036038492793276076,0.004611383537653224,5710,0.012876327465257813
RSI_14,35.0,5,0.5472865476400919,-0.0034785963822002103,0.559783293435807,0.006566456483158457,-0.012496745795715136,5657,1.0479459259282845e-10
RSI_14,35.0,10,0.5604730335065401,-0.008156657980630552,0.581833629412219,0.013022661874479475,-0.02136059590567896,5581,3.820452212156774e-25
RSI_14,40.0,1,0.5341539143934354,0.001270842204693936,0.5194549379384782,0.0010838251806322816,0.014698976454957213,9018,0.7355676171521197
RSI_14,40.0,3,0.5506938227394808,0.0013142923759158816,0.5429651384130092,0.0036956320171432945,0.007728684326471558,8936,0.007053120228350053
RSI_14,40.0,5,0.5595614828209765,0.00023154372273321948,0.5578999287554118,0.006545259684915144,0.0016615540655646743,8848,3.277642297515242e-08
RSI_14,40.0,10,0.5833429063756462,0.0006439924657172646,0.5781280622672677,0.012730211027317228,0.00521484410837858,8705,3.57721172466941e-15
MFI_14,20.0,1,0.5472263868065967,-0.00019284692198424404,0.5219660434696439,0.0011397160400151013,0.025260343336952817,667,0.5768577287455388
MFI_14,20.0,3,0.5167173252279635,-0.011690637973694698,0.5448814703009855,0.003448018473237658,-0.028164145073022007,658,0.00010880782829153234
MFI_14,20.0,5,0.4666666666666667,-0.023928755447854194,0.5595453833590621,0.005735182519272047,-0.09287871669239545,645,1.89002382124867e-08
MFI_14,20.0,10,0.494488188976378,-0.03870970652822777,0.5803777376847009,0.011073413691784842,-0.08588954870832294,635,2.378666647812686e-13
MFI_14,25.0,1,0.54,-0.0008781795682307821,0.5217371797747768,0.0011876774540918941,0.018262820225223186,1500,0.1696285029808003
