indicator,horizon_days,n_signals,edge_all,edge_calm,edge_slow_bear,edge_fast_crash,p_value
BB_pctB <=0.1,1,43747,0.016912909481997307,0.006633635461688048,0.007461534863605124,0.03926007479674487,1.2051546671849004e-06
BB_pctB <=0.1,3,43742,0.010330826743606747,-0.0014581855217243866,0.002591673635817804,0.009544366223731005,0.00014596181755504686
BB_pctB <=0.1,5,43712,0.016579374863195384,0.004714797827420347,0.021718542966816634,-0.023379218594082873,6.1799439307565945e-12
BB_pctB <=0.1,10,43284,0.021411143854468073,0.016983550645962353,0.03569538489624058,-0.07184619016566463,8.985224911086364e-17
BB_pctB <=0.2,1,75950,0.015120192221378281,0.008838505484421555,0.012610602236019952,0.009591333255334566,2.974676266577808e-06
BB_pctB <=0.2,3,75891,0.01660822047775312,0.006741073658505181,0.015392150149395878,0.0004778268184146839,2.079688583268951e-14
BB_pctB <=0.2,5,75772,0.02029546762734713,0.008535857418564774,0.03133504333622983,-0.03719917502800563,2.9735074781525257e-26
BB_pctB <=0.2,10,75175,0.020491494665701437,0.015001596614277912,0.035328169316738434,-0.09361796476914752,2.112252421130036e-28
EMA200_disc >=5.0,1,66760,0.0012384040841902921,-0.0036096229737216934,-0.005455618459740741,-0.004142235175540354,1.3423205236905334e-29
EMA200_disc >=5.0,3,66667,0.011151534707257271,-0.00417538948832985,0.013833076118193177,-0.03448267916157988,1.635185039222074e-66
EMA200_disc >=5.0,5,66573,0.02136700819588555,0.0013751783378854743,0.029555198692178597,-0.02878733622663021,4.885724476373634e-101
EMA200_disc >=5.0,10,66351,0.03769153984560747,0.008607070102214398,0.040934062048275655,0.06489490511888396,1.401798069760806e-228
EMA200_disc >=8.0,1,43921,-0.0014431162895881533,-0.006874807907992109,-0.008995833993712288,-0.011210416282358748,1.6234335649430213e-25
EMA200_disc >=8.0,3,43861,0.01454185613444925,-0.0017539471809486784,0.015470477621799095,-0.036909907971059086,7.365210776154322e-61
EMA200_disc >=8.0,5,43797,0.027423156662253256,0.0020259087694873834,0.03437827220358458,-0.019168203898419667,4.897930858738905e-99
EMA200_disc >=8.0,10,43642,0.04905268747322722,0.008553757372360415,0.049031520673433415,0.09431763447956198,4.932221776739297e-235
EMA200_disc >=10.0,1,33285,-0.0007955543928710451,-0.007326217339930219,-0.008871300160190998,-0.00978564097807677,1.664835074619141e-23
EMA200_disc >=10.0,3,33241,0.014763763975774946,-0.00462698565079378,0.015075171803881071,-0.03274986926287338,2.545281361265164e-55
EMA200_disc >=10.0,5,33193,0.02858023589770231,0.00018108560147167552,0.033016204942534544,-0.011913851196965086,6.141664939814391e-91
EMA200_disc >=10.0,10,33072,0.054023836358166766,0.000982516814287071,0.05414006444095798,0.1084596135741821,7.26678433538125e-219
EMA200_disc >=12.0,1,25219,-0.001061399262110574,-0.011526744348280826,-0.007633942132659555,-0.012517208903648158,1.095311710904403e-20
EMA200_disc >=12.0,3,25190,0.016945006092260573,-0.011357217163894373,0.02103486778286434,-0.030453015373974157,3.159859051236508e-50
EMA200_disc >=12.0,5,25158,0.029642771245566024,-0.013774274949193921,0.03872191522650936,-0.004891433730307093,8.626470425487367e-82
EMA200_disc >=12.0,10,25072,0.056148381947356496,-0.013640596958018336,0.05533495718016079,0.12340803352897478,3.471568752087482e-185
EMA200_disc >=15.0,1,16905,0.004100469300957421,-0.0198316426150974,0.0030621860772833687,-0.006712964243297037,1.5353929701243622e-20
EMA200_disc >=15.0,3,16893,0.01806148452201206,-0.022949120294677883,0.02247428112088601,-0.014245786057824228,1.7843632731354194e-43
EMA200_disc >=15.0,5,16879,0.032500601913457605,-0.026087698654177482,0.04098140455747756,0.014480156845846137,6.1117456939627464e-74
EMA200_disc >=15.0,10,16833,0.06234474750818597,-0.027256272108279744,0.059290040163698654,0.13865513442982558,2.080163067508685e-157
Volume_ratio >=1.5,1,42148,-0.0016506056446200512,0.007929008195529108,-0.010824238388164376,-0.07925491932086759,0.581172799806261
Volume_ratio >=1.5,3,42147,-0.011615485418042248,-0.005988045188030533,-0.0263897057901884,-0.05054553319863686,0.002129873780902123
Volume_ratio >=1.5,5,42147,-0.01021369158139196,-0.014486422620921369,0.00473008946879927,-0.0701473967516465,0.007354811453299933
Volume_ratio >=1.5,10,41837,-0.010139750818870197,-0.004168949211972084,-0.002219968818296336,-0.11880528585725925,1.324129515053648e-10
Volume_ratio >=2.0,1,13275,-0.010677969773376317,-0.0008180737185298215,-0.01596540766343879,-0.09695327895306854,0.9323647087420257
Volume_ratio >=2.0,3,13274,-0.013722140432473995,-0.015128124224274675,-0.025841304740359616,0.005681800403982806,0.7227295545550934
Volume_ratio >=2.0,5,13274,-0.008891469447185663,-0.02436107603607418,0.024244592763974726,-0.01301472548604532,0.5299936317509479
Volume_ratio >=2.0,10,13125,-0.01334921812082368,-0.013605102794314261,-0.000573698860248606,-0.0704537813993592,0.00011586417802815168
Volume_ratio >=2.5,1,5386,-0.010660937568124473,-0.005650695680174511,-0.0023620649645329506,-0.106855198937162,0.6783734289807288
Volume_ratio >=2.5,3,5386,-0.02210321345138877,-0.026254347589618865,-0.023793058967086722,0.02172673435005834,0.7249391316993432
Volume_ratio >=2.5,5,5386,-0.019075717143574256,-0.036713875818769615,0.014682544894963012,0.04733414827014626,0.22133688030836046
Volume_ratio >=2.5,10,5315,-0.030681016332081867,-0.03203636188787762,-0.021722362051492472,-0.04718212107560771,0.007934323855075776
MACD_hist_pos >=0.0,1,232508,-0.008045222813371278,-0.003501129897177213,-0.013388118001337324,0.002046291147214996,0.5446880939266228
MACD_hist_pos >=0.0,3,232411,-0.004328296072149129,0.00043445717455781185,-0.010023862679674145,0.03483394018538688,0.4023832502918596
MACD_hist_pos >=0.0,5,232360,-0.0013502316855472651,0.0025098067623275933,-0.013349000579528036,0.11300942376177725,0.38493928496427277
MACD_hist_pos >=0.0,10,232224,0.004719766925460167,0.00518237514609543,-0.003518934899659043,0.15666434690473052,0.7861231180663062
Stoch_K <=20.0,1,65675,0.008846007760240027,0.004477323451058668,0.0030725841440212287,0.013278356464915597,2.558235526493136e-08
Stoch_K <=20.0,3,65592,0.016225467614569,0.0011877526625558854,0.020152834000981112,0.02733382417096719,7.792852583897606e-30
Stoch_K <=20.0,5,65435,0.017663757859486817,0.0027970987684328152,0.028838454086926646,-0.008304926964047055,6.1944514983408e-37
Stoch_K <=20.0,10,64816,0.01530091414361856,0.010919445310088483,0.023468891439602735,-0.07350419417797593,8.74605038647855e-43
Stoch_K <=25.0,1,86812,0.009211690990305055,0.004890595959124666,0.004126103457559482,0.015513572060094072,6.0003234360201866e-09
Stoch_K <=25.0,3,86686,0.0159589312976004,0.003117363421513364,0.019209664621354317,0.02483202282115915,2.432915752642797e-32
Stoch_K <=25.0,5,86481,0.016469406987935864,0.00452411547849374,0.027122635791861027,-0.023441403251516224,1.4009422984470257e-36
Stoch_K <=25.0,10,85811,0.01651734463927923,0.011124002869885685,0.027497260068811036,-0.0817159629121399,2.9366195028784175e-52
Stoch_K <=30.0,1,107167,0.009306360991456541,0.005211117308570823,0.004913287660302079,0.015928661294015933,8.668635161147408e-10
Stoch_K <=30.0,3,107011,0.014620980831863473,0.004145390261272031,0.015467555646813236,0.023902863967217747,9.094510271987419e-32
Stoch_K <=30.0,5,106767,0.014725702216659031,0.003453248317214719,0.025788696492595742,-0.028371447126036786,1.0159579698008727e-33
Stoch_K <=30.0,10,106068,0.014192448317018491,0.007841503276563078,0.026725565468130208,-0.08797061112971127,1.2540337031550183e-50
OBV_slope_pos >=0.0,1,251728,-0.012644873351676855,-0.006999992695737256,-0.01849847158429785,-0.011364856857153494,5.15898956902524e-12
OBV_slope_pos >=0.0,3,251409,-0.012816033550279493,-0.0038137716028190383,-0.01946210549459204,-0.03168097683624882,1.0513587393080392e-28
OBV_slope_pos >=0.0,5,251200,-0.009679388176977555,-0.001623847500894282,-0.020486681921070282,0.03040406939660667,5.339925733678037e-36
OBV_slope_pos >=0.0,10,250981,-0.010169622246020249,-0.00283325678832258,-0.030504243876448567,0.11477006609364326,1.4448093537542391e-36
ADX_14 >=20.0,1,262714,7.400036754123818e-05,0.00016071693039676482,0.0011827228560904457,-0.048604074341051184,0.524910742079149
ADX_14 >=20.0,3,262452,-0.0010314641382559442,-0.0023214203595233185,0.009664873763974402,-0.08984402708830097,0.0944559962932616
ADX_14 >=20.0,5,262182,-0.001993465175882836,-0.004127560158989518,0.008512568852689695,-0.07006516076595115,0.0034382532166027076
ADX_14 >=20.0,10,261538,-0.0034926189159850685,-0.0032343758973604197,-0.004411484753946371,-0.006366503627186382,1.1660713402259149e-09
ADX_14 >=25.0,1,166628,-0.0020703251108695753,-0.002441690790272455,0.0025947349765753636,-0.04975874525933177,0.015173952355500403
ADX_14 >=25.0,3,166446,-0.004159808589688674,-0.0050692847288318355,0.009267355125358145,-0.0821511815037792,0.0001245073831774749
ADX_14 >=25.0,5,166248,-0.005728859741606529,-0.008375893216961527,0.01079947283205196,-0.07331393502647288,1.729297079361632e-06
ADX_14 >=25.0,10,165818,-0.007155398943849645,-0.009183207232054902,-0.003927067928998773,0.005400470113079869,1.4913374332613463e-11
ADX_14 >=30.0,1,100924,-0.0011111344705991844,-0.0018880930666622664,0.006644546750897651,-0.04392580880688857,0.5138295310119423
ADX_14 >=30.0,3,100821,-0.0033246402736508696,-0.005394818834920767,0.016799280280412443,-0.06910026254895141,0.19765455280617628
ADX_14 >=30.0,5,100715,-0.005836008645455859,-0.009163944803506241,0.015224817813929259,-0.058592637441506,0.026360208571457818
ADX_14 >=30.0,10,100494,-0.008026691772484607,-0.011532993896494426,-0.00661249849261536,0.036002674509361454,5.196109821819276e-06
Hurst_rev <=0.4,1,389722,-0.003492559512830229,-0.00129681394157255,-0.006226389905794827,-0.0024809164865727817,0.8678832990979943
Hurst_rev <=0.4,3,389489,-0.007533991144082708,-0.005391780108876976,-0.009727732473770123,-0.00859799277294293,0.0003569952534529245
Hurst_rev <=0.4,5,389244,-0.012141033364175824,-0.009319709306364832,-0.00905821803255713,-0.045686197987987454,4.243950932489185e-10
Hurst_rev <=0.4,10,388508,-0.021678556121573322,-0.027511389782778117,0.0037712505580520528,-0.05894294370587305,7.86182681210159e-36
Hurst_rev <=0.45,1,414198,-0.0037004282613427586,-0.0015929393833338246,-0.011497059639954177,0.017443963362091863,0.8162910803822756
Hurst_rev <=0.45,3,413911,-0.008867508387289336,-0.0045795473426369915,-0.02295450606036009,0.010477636762729503,0.004857400000628566
Hurst_rev <=0.45,5,413632,-0.014819576893907227,-0.01151983055603456,-0.019152656521847944,-0.026272326890139475,1.9003302146833012e-10
Hurst_rev <=0.45,10,412817,-0.02335003363812027,-0.0327896335207466,0.01093830666860085,-0.056424835365878834,2.571246731629477e-32
CMF_20 >=0.0,1,265966,-0.008497228931039658,0.002589021087749166,-0.02363992802979309,-0.05240408335523994,4.8467676132420346e-30
CMF_20 >=0.0,3,265890,-0.013246444627992737,0.0030385139821355045,-0.03436609740323704,-0.06536960124878433,1.8309530131512836e-52
CMF_20 >=0.0,5,265818,-0.015619389651258642,0.004124141657182334,-0.050203578915448244,-0.03057661584966742,1.4189856509459586e-69
CMF_20 >=0.0,10,265569,-0.016605926369704482,0.000932842939407208,-0.056223571339147016,0.0439945282505434,3.298622367523154e-88
ROC_10 <=-5.0,1,53820,0.008284095905942701,-0.0025957089328337846,0.0006668023774690779,0.007388532923639168,6.305472270745275e-11
ROC_10 <=-5.0,3,53732,0.0097030159875795,-0.001905435027840241,0.007781635826784927,-0.05072960337939836,1.355160986955239e-16
ROC_10 <=-5.0,5,53629,0.015226404420490391,-0.004874616517491992,0.03241236245436374,-0.0848264175369392,1.0691716123825917e-23
ROC_10 <=-5.0,10,53200,0.02321529767993402,0.0006666454558295065,0.050820974604304237,-0.09770870511662866,2.2218737006856622e-41
ROC_10 <=-8.0,1,24159,0.010956406769386029,-0.00999089983127377,-0.0011258849188461317,0.015513340222418126,1.3611286406344399e-11
ROC_10 <=-8.0,3,24135,0.011468393713492064,-0.007846059823101714,0.015599458966535473,-0.053232411247802536,1.5821013715773648e-10
ROC_10 <=-8.0,5,24085,0.016635356484785202,-0.012572859002644932,0.037752574170859976,-0.07384912364225771,3.213901362496414e-11
ROC_10 <=-8.0,10,23889,0.02983597504835178,-0.0006061461311341887,0.053875303232426175,-0.05553273884645349,5.4476612977306416e-17
ROC_10 <=-10.0,1,14279,0.017405041970662283,-0.005020155246263092,0.006550411968716308,0.008772566177621122,1.1237893545369281e-10
ROC_10 <=-10.0,3,14267,0.011367749009664196,-0.008056746011257943,0.021806148652021795,-0.0622742945409005,7.508452884881345e-08
ROC_10 <=-10.0,5,14240,0.013851923394143095,-0.019773353422935958,0.039949193142623796,-0.07501660831067092,8.678519261466357e-07
ROC_10 <=-10.0,10,14135,0.027170275800928456,7.639671911208179e-05,0.04065533007138844,-0.03735871618328057,3.3844219334863445e-09
