indicator,horizon_days,n_signals,edge_all,edge_calm,edge_slow_bear,edge_fast_crash,p_value
RSI_14 <=20.0,1,1393,0.09276843912804617,-0.41978798586572436,0.10850917092457174,-0.13895370668383222,1.683840995385482e-19
RSI_14 <=20.0,3,1389,0.18016251201252576,0.6579505300353357,0.1613826813845768,0.06593981332475052,1.299622692542087e-39
RSI_14 <=20.0,5,1383,0.1826552833868283,0.6956419316843345,0.134802966208609,0.06699254371848518,1.598054229088248e-45
RSI_14 <=20.0,10,1335,0.06182598994550059,0.8047114252061248,-0.005751046123540271,0.08736991739083788,9.599392585610835e-07
RSI_14 <=25.0,1,2931,0.06180551660126832,-0.4200848656294201,0.06761172206625943,-0.16373697581847918,8.0676785133198e-23
RSI_14 <=25.0,3,2915,0.13574673633558498,0.4081801037246582,0.11525973644194276,0.03704884646637119,1.2972637108944122e-56
RSI_14 <=25.0,5,2901,0.14845664607379155,0.19566242338519568,0.10539126598448634,0.07043600794050786,4.690845661664423e-64
RSI_14 <=25.0,10,2805,0.037507324082265314,0.30480905233380484,-0.019405300577815088,0.05479670448350693,2.3205030136106632e-08
RSI_14 <=30.0,1,5393,0.04454442227269134,-0.14051646529258466,0.04314363976673158,-0.14472514376513318,2.410238644901937e-20
RSI_14 <=30.0,3,5352,0.09139710120070194,0.017900971333807136,0.06935571444400224,0.04031098668280875,6.074995077216922e-49
RSI_14 <=30.0,5,5311,0.10668820146222285,0.09604359156597964,0.06850503160989052,0.07011387711864403,1.625793634101341e-53
RSI_14 <=30.0,10,5132,0.013505538315509547,-0.0356882255389718,-0.035941332388625846,0.02733429176755453,5.312517974505296e-05
RSI_14 <=35.0,1,8752,0.03119766644098132,-0.13839777886774451,0.0260282279681453,-0.12316287592564612,5.779656210793685e-18
RSI_14 <=35.0,3,8673,0.06850533361156164,-0.021720837514455804,0.04544591817372734,0.05564266283814412,2.820011326666892e-44
RSI_14 <=35.0,5,8595,0.08215830560602977,0.03554441589531515,0.04582518506781952,0.08910760163215958,7.734756769939141e-53
RSI_14 <=35.0,10,8281,0.006200330038254376,-0.06420404177672581,-0.040899675097586574,-0.005124112135408754,7.513001964954931e-07
