indicator,horizon_days,n_signals,edge_all,edge_calm,edge_slow_bear,edge_fast_crash,p_value
EMA200_disc >=15.0 + Stoch_K <=20.0,10,7311,0.04397362758988066,-0.027211139835960574,0.040882695468594465,0.06011071576733884,1.5801072982672346e-37
EMA200_disc >=12.0 + EMA200_disc >=10.0,1,25219,-0.0010637018868725479,-0.011526744348280826,-0.0076431597419803765,-0.012517208903648158,1.0953181309834017e-20
EMA200_disc >=12.0 + EMA200_disc >=10.0,3,25190,0.016993922164486475,-0.011220268980970172,0.021044085392185163,-0.03038818975488944,3.159920258588242e-50
EMA200_disc >=12.0 + EMA200_disc >=10.0,5,25158,0.029640464993778703,-0.013777503984681028,0.03872191522650936,-0.004891433730307093,8.626578930021182e-82
EMA200_disc >=12.0 + EMA200_disc >=10.0,10,25072,0.056148381947356496,-0.013640596958018336,0.05533495718016079,0.12340803352897478,3.471542533612846e-185
EMA200_disc >=12.0 + BB_pctB <=0.2,1,10621,-0.001240854012107162,-0.015428229483881117,-0.0007501168201597963,-0.0346583602416507,0.0006576226026187194
EMA200_disc >=12.0 + BB_pctB <=0.2,3,10615,0.017498905543886112,0.002628321357024399,0.02903258198179348,-0.07554803060091408,3.755378197912791e-11
EMA200_disc >=12.0 + BB_pctB <=0.2,5,10597,0.038661818164850814,0.007764368139854705,0.06134418510706929,-0.06472217322053575,3.453790925212563e-23
EMA200_disc >=12.0 + BB_pctB <=0.2,10,10521,0.058778736795305764,0.022004901685055644,0.06000478622163197,0.024660730941633346,1.719791485965431e-49
EMA200_disc >=12.0 + Stoch_K <=20.0,1,10611,0.00823848217897849,-0.008185516245786895,0.0038682969509213905,-0.0030139470448704575,4.249807918330592e-08
EMA200_disc >=12.0 + Stoch_K <=20.0,3,10601,0.02212169696037114,0.00173071992867746,0.03157232707131197,-0.05899596130748663,2.890934367575622e-14
EMA200_disc >=12.0 + Stoch_K <=20.0,5,10579,0.03456652112791192,-0.003781300608725946,0.05445578733158307,-0.054421929373575595,9.727254814003081e-23
EMA200_disc >=12.0 + Stoch_K <=20.0,10,10504,0.04881180709155353,0.0024100179850776726,0.04891091537679504,0.03231563618813771,1.1590426148005637e-46
EMA200_disc >=10.0 + BB_pctB <=0.2,1,13674,-0.0005374132445561397,-0.006559503034102354,-0.004496764624425498,-0.03179247704004218,0.0009754359779432537
EMA200_disc >=10.0 + BB_pctB <=0.2,3,13666,0.012237211124410785,0.001340496043667927,0.01917474952362519,-0.07583759573046267,4.0299499766572615e-10
EMA200_disc >=10.0 + BB_pctB <=0.2,5,13642,0.032085096984499684,0.01537024651546992,0.04952352698305962,-0.08022561558284869,2.6880995493576175e-21
EMA200_disc >=10.0 + BB_pctB <=0.2,10,13537,0.0523246465927929,0.030469625582763116,0.05241716920118411,0.001999816380103492,1.6826576378221138e-51
EMA200_disc >=10.0 + Stoch_K <=20.0,1,13562,0.006757675307685229,-0.0012680057647510568,4.0750860927030175e-05,-0.007069157103604229,8.371246504105667e-08
EMA200_disc >=10.0 + Stoch_K <=20.0,3,13550,0.01897835738833531,0.003710303979993834,0.0253944269773404,-0.05973624131242927,1.6154394346623463e-14
EMA200_disc >=10.0 + Stoch_K <=20.0,5,13519,0.029198196380907038,0.003972291483767543,0.04535979156669101,-0.06750010101826409,1.1096660024431316e-22
EMA200_disc >=10.0 + Stoch_K <=20.0,10,13418,0.044812168418750575,0.015448430004992963,0.04463990022391495,0.008419925548847074,8.966459943722426e-50
BB_pctB <=0.2 + Stoch_K <=20.0,1,48932,0.011587227666235211,0.003857965497375937,0.009019973428289862,0.0112117793069616,6.141405126455348e-08
BB_pctB <=0.2 + Stoch_K <=20.0,3,48893,0.01924555211206158,0.003228929203093811,0.02121336439351862,0.02274404397175278,5.465473092532443e-24
BB_pctB <=0.2 + Stoch_K <=20.0,5,48792,0.024957429530983233,0.007696953663481554,0.040323640751864454,-0.015523271009935669,2.2334724058372386e-36
BB_pctB <=0.2 + Stoch_K <=20.0,10,48253,0.022598749254337358,0.01753505562679125,0.03531152830058493,-0.07411895383324585,2.2924817009261638e-37
EMA200_disc >=15.0 + EMA200_disc >=12.0 + EMA200_disc >=10.0,1,16905,0.004098209929650043,-0.0198316426150974,0.0030533310343364706,-0.006712964243297037,1.53535268831811e-20
EMA200_disc >=15.0 + EMA200_disc >=12.0 + EMA200_disc >=10.0,3,16893,0.018129725480812597,-0.022729737932229765,0.022483136163833017,-0.014184485254783663,1.7843241053420554e-43
EMA200_disc >=15.0 + EMA200_disc >=12.0 + EMA200_disc >=10.0,5,16879,0.03249833887097808,-0.02609089722121949,0.04098140455747756,0.014480156845846137,6.111659044773949e-74
EMA200_disc >=15.0 + EMA200_disc >=12.0 + EMA200_disc >=10.0,10,16833,0.06234474750818597,-0.027256272108279744,0.059290040163698654,0.13865513442982558,2.0800883284389276e-157
EMA200_disc >=15.0 + EMA200_disc >=12.0 + BB_pctB <=0.2,1,7285,0.002321597069849357,-0.02525805706307599,0.010081163525210046,-0.03463410752638252,0.00013147538626126338
EMA200_disc >=15.0 + EMA200_disc >=12.0 + BB_pctB <=0.2,3,7285,0.0195178796140395,-0.018449392022553468,0.04014872214540044,-0.06351801356002795,3.700284087140822e-12
EMA200_disc >=15.0 + EMA200_disc >=12.0 + BB_pctB <=0.2,5,7281,0.04319411494279457,-0.011988271157497232,0.06848232149559919,-0.03355409636290252,2.634041426554184e-24
EMA200_disc >=15.0 + EMA200_disc >=12.0 + BB_pctB <=0.2,10,7243,0.05785035299894514,-0.003594387584847203,0.05719675631704124,0.05293304133213217,7.524723887486663e-43
EMA200_disc >=15.0 + EMA200_disc >=12.0 + Stoch_K <=20.0,1,7363,0.011387807452426846,-0.021753195157770744,0.014098472852920096,-0.002614523686870762,8.026854646279564e-08
EMA200_disc >=15.0 + EMA200_disc >=12.0 + Stoch_K <=20.0,3,7360,0.018088543598463347,-0.026051484440902217,0.03843370087531661,-0.05780102963424283,3.1468692312543823e-12
EMA200_disc >=15.0 + EMA200_disc >=12.0 + Stoch_K <=20.0,5,7351,0.03118571942702575,-0.03320429071892517,0.055160429945432465,-0.032444654007966145,4.4651873423342436e-20
EMA200_disc >=15.0 + EMA200_disc >=12.0 + Stoch_K <=20.0,10,7311,0.04397362758988066,-0.027211139835960574,0.040882695468594465,0.06011071576733884,1.5801072982672346e-37
EMA200_disc >=15.0 + EMA200_disc >=10.0 + BB_pctB <=0.2,1,7285,0.002321597069849357,-0.02525805706307599,0.010081163525210046,-0.03463410752638252,0.00013147538626126338
EMA200_disc >=15.0 + EMA200_disc >=10.0 + BB_pctB <=0.2,3,7285,0.0195178796140395,-0.018449392022553468,0.04014872214540044,-0.06351801356002795,3.700284087140822e-12
EMA200_disc >=15.0 + EMA200_disc >=10.0 + BB_pctB <=0.2,5,7281,0.04319411494279457,-0.011988271157497232,0.06848232149559919,-0.03355409636290252,2.634041426554184e-24
EMA200_disc >=15.0 + EMA200_disc >=10.0 + BB_pctB <=0.2,10,7243,0.05785035299894514,-0.003594387584847203,0.05719675631704124,0.05293304133213217,7.524723887486663e-43
